student_id,S_пос,S_пос_взв,S_опр,S_опр_взв,S_док,S_док_взв,S_лаб,S_лаб_взв,ЛР_сдано,ЛР_всего,Рейтинг_сумма,Проект_raw,Проект,Бонус_проект,Рейтинг_итог,Блок,Причина_блока,Зачёт
1,5.88,0.88,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.12,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
2,7.35,1.1,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-28.9,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
3,8.82,1.32,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-28.68,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
4,8.82,1.32,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-28.68,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
5,8.82,1.32,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-28.68,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
6,5.88,0.88,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.12,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
7,5.88,0.88,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.12,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
8,5.88,0.88,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.12,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
9,8.82,1.32,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-28.68,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
10,8.82,1.32,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-28.68,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
11,2.94,0.44,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.56,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
12,8.82,1.32,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-28.68,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
13,5.88,0.88,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.12,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
14,5.88,0.88,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.12,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
15,8.82,1.32,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-28.68,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
